epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.9332,1.26492,4.91228,2.70924,0.00245,0.22857,0.00462,0.00339,0.83315,4.33633,2.62752,2.61e-05,2.61e-05,2.61e-05
2,11.2873,1.07788,4.72145,2.3318,0.00919,0.42857,0.02259,0.01367,0.74939,4.15187,2.25407,5.54303e-05,5.54303e-05,5.54303e-05
3,15.1886,0.8809,4.55823,2.04452,0.01812,0.61429,0.04416,0.03091,0.74763,3.9083,2.10199,8.35548e-05,8.35548e-05,8.35548e-05
4,18.892,0.82308,4.36995,1.87222,0.01732,0.68571,0.06507,0.05015,0.75187,3.7076,2.14143,0.000110473,0.000110473,0.000110473
5,22.8808,0.77847,4.17368,1.82875,0.02459,0.72857,0.13666,0.10692,0.67864,3.40428,1.9322,0.000136186,0.000136186,0.000136186
6,26.4833,0.74931,3.92529,1.82071,0.02874,0.78571,0.18415,0.14402,0.73914,3.2022,1.83782,0.000160693,0.000160693,0.000160693
7,30.5542,0.79234,3.76077,1.77482,0.13648,0.97143,0.32182,0.26359,0.81281,3.13591,1.82602,0.000183995,0.000183995,0.000183995
8,34.5222,0.77493,3.42854,1.7456,0.07242,1,0.3586,0.29163,0.78409,3.2212,1.70918,0.00020609,0.00020609,0.00020609
9,38.4914,0.76411,3.29819,1.67604,0.37072,0.47143,0.36079,0.30817,0.69455,3.15175,1.67021,0.00022698,0.00022698,0.00022698
10,42.261,0.76966,3.00372,1.71278,0.25573,0.61429,0.35926,0.31477,0.63847,3.48814,1.72893,0.000246663,0.000246663,0.000246663
11,46.1949,0.73816,2.85296,1.68761,0.29858,0.48814,0.40259,0.34128,0.66002,3.4408,1.62735,0.000265141,0.000265141,0.000265141
12,50.0245,0.69785,2.59805,1.59463,0.29659,0.69378,0.38866,0.3186,0.7161,2.96303,1.4992,0.000282413,0.000282413,0.000282413
13,53.2991,0.76436,2.45547,1.62371,0.28291,0.62857,0.40674,0.34488,0.61829,2.69955,1.53149,0.00029848,0.00029848,0.00029848
14,57.7312,0.71589,2.24048,1.62501,0.50315,0.35714,0.42734,0.3686,0.58691,2.51019,1.56697,0.00031334,0.00031334,0.00031334
15,61.6268,0.7227,2.0566,1.65035,0.81242,0.36351,0.49437,0.41984,0.58079,2.38593,1.68121,0.000314418,0.000314418,0.000314418
16,65.4996,0.68557,1.98114,1.57879,0.72923,0.4,0.5069,0.43293,0.57212,2.22457,1.65289,0.000305805,0.000305805,0.000305805
17,69.1845,0.67714,1.9229,1.54055,0.43507,0.52588,0.55023,0.45802,0.59908,2.22897,1.64672,0.000297192,0.000297192,0.000297192
18,73.2577,0.62974,1.8257,1.49163,0.50089,0.54286,0.60489,0.50959,0.61764,2.11001,1.63734,0.000288579,0.000288579,0.000288579
19,77.2572,0.6296,1.73015,1.53027,0.45676,0.54286,0.60499,0.50474,0.61593,2.02371,1.56526,0.000279966,0.000279966,0.000279966
